feature_set,model,repeat,fold,rmse,mae,r2,n,rmse_hard
curated (log) + family,mlp,1,4,32.299491465138686,16.748528630425792,0.9198217332767711,317.0,70.43556503133892
curated (log) + family,mlp,2,0,40.37342035451182,19.23540047930988,0.8969225133981535,318.0,85.37549660606638
curated (log) + family,mlp,2,1,41.391093176655346,21.192878014885764,0.8768189364539801,317.0,85.63613419282986
curated (log) + family,mlp,2,2,48.74161644260916,19.823016241772947,0.8609835548672993,317.0,113.23638561733596
curated (log) + family,mlp,2,3,36.79266520579814,19.30933646386832,0.9221128475047717,317.0,76.03479262756761
curated (log) + family,mlp,2,4,48.368602312331106,20.261810788890337,0.8471592183320407,317.0,101.86500827556277
curated (log) + family,ridge,0,0,37.48628238235913,19.7651279793276,0.9208656353818944,318.0,82.90594098893894
curated (log) + family,ridge,0,1,35.72359192391599,18.92421962566691,0.9182958141234563,317.0,70.19535394762747
curated (log) + family,ridge,0,2,36.38450405631145,19.150428529474436,0.9036475248599801,317.0,71.71680685800882
curated (log) + family,ridge,0,3,31.559495094417603,17.385046490425253,0.91418831474439,317.0,72.48657989385035
curated (log) + family,ridge,0,4,41.82787424994338,23.106959051893508,0.9151128431432581,317.0,84.49351673755484
curated (log) + family,ridge,1,0,34.960686752235354,19.137357432749376,0.9341566239979064,318.0,74.31091293450739
curated (log) + family,ridge,1,1,39.720376010162475,20.431490914064284,0.8914774488734792,317.0,78.56069576775997
curated (log) + family,ridge,1,2,35.916782271953274,19.635330164233885,0.9135181646953323,317.0,71.45888545045497
curated (log) + family,ridge,1,3,37.70646207501253,20.553432852292676,0.9230542763282569,317.0,83.38106077027227
curated (log) + family,ridge,1,4,32.15864306003846,17.314966351061262,0.9205194754285637,317.0,69.49615272705935
curated (log) + family,ridge,2,0,38.430886331751374,20.774433998601115,0.906602869194458,318.0,80.24613684947813
curated (log) + family,ridge,2,1,36.900465102834325,19.127536095853387,0.9020974877092717,317.0,80.50031864904429
curated (log) + family,ridge,2,2,40.17830605961399,20.322297622542354,0.9055396460687347,317.0,89.5124410159416
curated (log) + family,ridge,2,3,34.81401146845283,18.490228759910753,0.9302648939867263,317.0,73.41616478130452
curated (log) + family,ridge,2,4,31.16900113782531,17.83198317472585,0.9365315424615435,317.0,56.935755811634614
curated (log) + family,xgboost,0,0,41.17398614419924,17.092746750104414,0.9045301581785172,318.0,94.71016417266635
curated (log) + family,xgboost,0,1,33.35332608217,16.10874562119541,0.9287782949776615,317.0,60.4470699424422
curated (log) + family,xgboost,0,2,40.755937968837976,16.944057158819255,0.8791040530283036,317.0,80.46775292823425
curated (log) + family,xgboost,0,3,25.94045047407666,14.828778169114747,0.9420249188233877,317.0,53.59215297478295
curated (log) + family,xgboost,0,4,44.045157339849474,19.317828715589265,0.9058746222892593,317.0,89.62659104176743
curated (log) + family,xgboost,1,0,36.91899842715798,16.039291743947153,0.9265736396499761,318.0,76.53878875159207
curated (log) + family,xgboost,1,1,38.24706696195961,18.02807529025779,0.8993787832251998,317.0,73.19943152395582
curated (log) + family,xgboost,1,2,38.86038422149084,19.217455471045078,0.8987618421315801,317.0,76.5187126573747
curated (log) + family,xgboost,1,3,42.83464203096185,17.044182948371578,0.9007013825843515,317.0,99.37274667980314
curated (log) + family,xgboost,1,4,39.69144611600256,16.804380554222327,0.8789237005922239,317.0,91.09454575479616
curated (log) + family,xgboost,2,0,39.60927696504114,18.862157753460966,0.9007874612615996,318.0,82.81800301805373
curated (log) + family,xgboost,2,1,42.96485893197668,17.69341379323677,0.8672737156598709,317.0,93.96574466267832
curated (log) + family,xgboost,2,2,41.61690035120895,17.30785030387421,0.8986541932223195,317.0,93.43811900332503
curated (log) + family,xgboost,2,3,38.400320630671295,16.221860999482455,0.9151575833259296,317.0,80.76647661378804
curated (log) + family,xgboost,2,4,35.22912062475144,17.133270260930107,0.9189196192414438,317.0,65.36228929041546
old 12,ensemble,0,0,32.8924240065303,17.668995899126156,0.9390726716388386,318.0,70.29623130026481
old 12,ensemble,0,1,33.49858389144209,17.12728463322496,0.9281565856587171,317.0,60.373177873612704
old 12,ensemble,0,2,34.84974172228304,18.00979584771309,0.9116047183549346,317.0,66.31217631805507
old 12,ensemble,0,3,24.843319880623117,15.33330944917309,0.9468252323623408,317.0,53.17437403239383
old 12,ensemble,0,4,34.755093589020014,19.220920913626546,0.9413932922883665,317.0,68.69832335868024
old 12,ensemble,1,0,29.148417736610707,16.19999013180033,0.9542298695682297,318.0,58.13116300110138
old 12,ensemble,1,1,35.089813063890254,18.38703009120972,0.9153054623468801,317.0,64.83705462614674
old 12,ensemble,1,2,33.82746299410035,17.508053176560725,0.9232870102623089,317.0,65.58279762841092
old 12,ensemble,1,3,33.61576880516004,17.85845592661898,0.9388440081242891,317.0,73.60979842433355
old 12,ensemble,1,4,29.372212113574655,16.015008857444695,0.9336961715376834,317.0,62.24044387902239
old 12,ensemble,2,0,34.172664699560066,17.734370843324186,0.9261534137088213,318.0,69.07958392372494
old 12,ensemble,2,1,34.66222471885054,17.59175635688615,0.9136140679930194,317.0,72.48122458063307
old 12,ensemble,2,2,32.997387896396305,17.053702517452344,0.9362873825371688,317.0,68.41989059277587
old 12,ensemble,2,3,29.497596906852074,16.472053329702877,0.9499370309424635,317.0,60.49495116584524
old 12,ensemble,2,4,30.65604151885516,17.462607581292215,0.9386033994614538,317.0,53.981342170137104
old 12,mlp,0,0,29.684138491000436,15.428565215542422,0.9503785702891948,318.0,58.63474167209142
old 12,mlp,0,1,30.967809590640734,15.943132848043183,0.9386018842144447,317.0,51.76895330391744
old 12,mlp,0,2,34.91850418298657,18.14262610689327,0.9112555465480847,317.0,65.44076909463062
old 12,mlp,0,3,23.297523639227165,15.03084566065091,0.9532366236214305,317.0,46.473637604842835
old 12,mlp,0,4,34.84204660154558,17.964338470235873,0.941099671751872,317.0,69.03823810619714
old 12,mlp,1,0,27.589770577446767,16.30037798216517,0.9589939102003647,318.0,51.74309309482102
old 12,mlp,1,1,38.87186040547214,17.133215153867717,0.8960644914713329,317.0,74.51374615109306
old 12,mlp,1,2,31.694170260540645,15.130314704588109,0.9326575632800931,317.0,60.85549173361354
