model,params,refit_fallbacks,feature_set,repeat,fold,train_rmse,test_rmse
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 7, ""model__learning_rate"": 0.01}",0.0,curated (log) + family,0,3,18.23169529874792,26.060599907480128
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50, 20], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated (log) + family,0,3,22.1456822546413,24.562970955611902
ensemble,,,curated (log) + family,0,3,22.8768398807096,24.32105248223617
ridge,"{""regressor__model__alpha"": 1}",0.0,old 12,0,4,38.192471826507095,41.16622475883983
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}",0.0,old 12,0,4,18.250894041887896,37.86304387434315
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50], ""regressor__model__alpha"": 0.0001, ""regressor__model__activation"": ""relu""}",0.0,old 12,0,4,24.730854232621517,34.84204660154558
ensemble,,,old 12,0,4,24.30445341025683,34.755093589020014
ridge,"{""regressor__model__alpha"": 1}",0.0,curated,0,4,34.301288065771956,44.5398413037116
xgboost,"{""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated,0,4,8.691138864161474,42.95035489112884
mlp,"{""regressor__model__solver"": ""sgd"", ""regressor__model__learning_rate_init"": 0.1, ""regressor__model__learning_rate"": ""adaptive"", ""regressor__model__hidden_layer_sizes"": [50], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""tanh""}",0.0,curated,0,4,26.39524464553056,45.48552723926792
ensemble,,,curated,0,4,21.133188980237534,41.79907945796018
