model,params,refit_fallbacks,feature_set,repeat,fold,train_rmse,test_rmse
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50], ""regressor__model__alpha"": 0.0001, ""regressor__model__activation"": ""relu""}",0.0,curated,0,4,16.64614195469489,30.697770919464897
ensemble,,,curated,0,4,12.883334917948606,27.53403641209194
ridge,"{""regressor__model__alpha"": 0.1}",0.0,curated (log),0,4,22.668462661681094,26.04801085513405
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated (log),0,4,4.4686734910705015,29.46738698393562
mlp,"{""regressor__model__solver"": ""sgd"", ""regressor__model__learning_rate_init"": 0.1, ""regressor__model__learning_rate"": ""adaptive"", ""regressor__model__hidden_layer_sizes"": [50], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated (log),0,4,22.52312062019247,29.08387671726362
ensemble,,,curated (log),0,4,14.36448844542956,25.575859114098535
xgboost_per_family,"{""alcohol/phenol"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}, ""alkane"": {""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}, ""alkene/alkyne"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 7, ""model__learning_rate"": 0.01}, ""amine"": {""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 7, ""model__learning_rate"": 0.01}}",,curated (log),0,4,8.793889296747155,30.90403759995126
ridge,"{""regressor__model__alpha"": 0.1}",0.0,curated (log) + family,0,4,21.834647124058893,26.496314773025713
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated (log) + family,0,4,4.538643108130527,29.64452418515096
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.01, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [50], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated (log) + family,0,4,24.295794885850768,35.66632114269525
ensemble,,,curated (log) + family,0,4,14.560040314628216,26.998064175044515
ridge,"{""regressor__model__alpha"": 0.1}",0.0,old 12,1,0,30.79964550374927,33.12612926028665
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}",0.0,old 12,1,0,10.5744734617393,21.72563868453703
mlp,"{""regressor__model__solver"": ""sgd"", ""regressor__model__learning_rate_init"": 0.1, ""regressor__model__learning_rate"": ""adaptive"", ""regressor__model__hidden_layer_sizes"": [50], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,old 12,1,0,17.024083114769986,17.734374410426486
ensemble,,,old 12,1,0,16.868787941189407,21.202840945355895
ridge,"{""regressor__model__alpha"": 0.1}",0.0,curated,1,0,24.007805499666237,24.995222535635982
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated,1,0,4.253897066816417,22.294592126773587
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50, 20], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated,1,0,12.136756895112699,17.99865149671728
ensemble,,,curated,1,0,11.637798682506181,18.66671090638395
ridge,"{""regressor__model__alpha"": 1}",0.0,curated (log),1,0,23.289403243783823,21.269054479198466
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated (log),1,0,4.253897066816417,22.294592126773587
mlp,"{""regressor__model__solver"": ""sgd"", ""regressor__model__learning_rate_init"": 0.1, ""regressor__model__learning_rate"": ""adaptive"", ""regressor__model__hidden_layer_sizes"": [50], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated (log),1,0,12.214102624704827,16.58698664239751
ensemble,,,curated (log),1,0,11.538184632493957,16.995557557743503
xgboost_per_family,"{""alcohol/phenol"": {""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}, ""alkane"": {""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 7, ""model__learning_rate"": 0.1}, ""alkene/alkyne"": {""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}, ""amine"": {""model__n_estimators"": 300, ""model__min_child_weight"": 5, ""model__max_depth"": 3, ""model__learning_rate"": 0.1}}",,curated (log),1,0,4.947552378020575,19.71527098876262
ridge,"{""regressor__model__alpha"": 1}",0.0,curated (log) + family,1,0,22.579718267626,20.88066839509487
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated (log) + family,1,0,4.166915013989035,21.729349858130433
mlp,"{""regressor__model__solver"": ""sgd"", ""regressor__model__learning_rate_init"": 0.1, ""regressor__model__learning_rate"": ""adaptive"", ""regressor__model__hidden_layer_sizes"": [50], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,curated (log) + family,1,0,13.374401970060909,16.78978989499631
ensemble,,,curated (log) + family,1,0,11.732022670622282,16.971474604809952
ridge,"{""regressor__model__alpha"": 0.1}",0.0,old 12,1,1,32.07341577399968,27.919465717500426
xgboost,"{""model__n_estimators"": 300, ""model__min_child_weight"": 3, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,old 12,1,1,9.785464288128507,21.132581323752337
mlp,"{""regressor__model__solver"": ""adam"", ""regressor__model__learning_rate_init"": 0.001, ""regressor__model__learning_rate"": ""constant"", ""regressor__model__hidden_layer_sizes"": [100, 50, 20], ""regressor__model__alpha"": 0.01, ""regressor__model__activation"": ""relu""}",0.0,old 12,1,1,19.09369453167083,21.59341640962041
ensemble,,,old 12,1,1,17.587993761644178,20.59933189498912
ridge,"{""regressor__model__alpha"": 0.1}",0.0,curated,1,1,24.419388180231916,23.484080404015458
xgboost,"{""model__n_estimators"": 500, ""model__min_child_weight"": 5, ""model__max_depth"": 5, ""model__learning_rate"": 0.1}",0.0,curated,1,1,4.293489728288829,24.87197226817797
