feature_set,model,repeat,fold,rmse,mae,r2,n,rmse_hard
curated (log) + family,ensemble,2,4,20.864550640381175,9.796124982613168,0.9278939582601894,250.0,48.953689760025114
curated (log) + family,mlp,0,0,18.685997565064394,9.815641438676732,0.9556312053012117,251.0,42.164957529765296
curated (log) + family,mlp,0,1,31.511394187963433,14.650753626107427,0.8942032769769552,250.0,68.58637470309664
curated (log) + family,mlp,0,2,25.289059995707,13.422246715431323,0.8798176404870914,250.0,53.944991283292566
curated (log) + family,mlp,0,3,38.38209894790204,27.132114158389005,0.8162108048752444,250.0,60.79894147557227
curated (log) + family,mlp,0,4,35.66632114269525,18.01640786430593,0.8517827905596911,250.0,83.93533436938571
curated (log) + family,mlp,1,0,16.78978989499631,8.701606296855148,0.9680084697846589,251.0,22.965939651594155
curated (log) + family,mlp,1,1,20.778654742062294,11.350428383521171,0.9361462047470697,250.0,45.048039404047216
curated (log) + family,mlp,1,2,37.56404513786008,13.786828408971123,0.83909995117612,250.0,93.97573615960707
curated (log) + family,mlp,1,3,22.688458047774713,12.195718921036573,0.9344494320591724,250.0,39.67829456334028
curated (log) + family,mlp,1,4,18.19812623201982,9.779310028016674,0.9533784677497006,250.0,38.53158468663154
curated (log) + family,mlp,2,0,20.96176112472545,9.892078249399761,0.9442923274755025,251.0,45.203854677039985
curated (log) + family,mlp,2,1,25.835833430160957,14.49723503273676,0.9221335855840277,250.0,54.074158869213136
curated (log) + family,mlp,2,2,20.399406765175552,12.204332649849057,0.9450665574334632,250.0,38.319516599275666
curated (log) + family,mlp,2,3,28.149563890936125,11.441626962796617,0.9132065609696854,250.0,71.07200516421626
curated (log) + family,mlp,2,4,25.630464040146116,13.304024249540689,0.8911905732050845,250.0,53.67341304975499
curated (log) + family,ridge,0,0,22.967092813694588,14.549456018908728,0.9329718695644359,251.0,48.36671827448333
curated (log) + family,ridge,0,1,29.66543562574208,14.48781041710456,0.906235500600642,250.0,61.44475534312344
curated (log) + family,ridge,0,2,24.359825536139578,13.01648324416253,0.8884874621409171,250.0,50.19267560391296
curated (log) + family,ridge,0,3,23.29658535835906,12.831680095862511,0.9322908948028333,250.0,55.24513881335306
curated (log) + family,ridge,0,4,26.496314773025713,13.381352695764175,0.9182000666196507,250.0,58.36576912781496
curated (log) + family,ridge,1,0,20.88066839509487,12.95950530996238,0.9505195906814915,251.0,38.38117956220657
curated (log) + family,ridge,1,1,22.203264362575695,12.803724033044539,0.9270902647387089,250.0,46.72223985443231
curated (log) + family,ridge,1,2,32.04436279964621,14.45466002791634,0.8829113635208096,250.0,76.19813406024096
curated (log) + family,ridge,1,3,22.55480426048941,13.85420490064997,0.9352194514792871,250.0,40.0319305022827
curated (log) + family,ridge,1,4,20.43966664547926,12.917967842204233,0.9411859869658333,250.0,46.68237389554906
curated (log) + family,ridge,2,0,22.13516482534222,13.14686391931443,0.9378809222631154,251.0,40.10494343558051
curated (log) + family,ridge,2,1,26.361002207965203,13.930305771106607,0.9189358076677686,250.0,55.72918925642853
curated (log) + family,ridge,2,2,19.418422990576154,12.766094786546123,0.950222892729764,250.0,33.084974068333835
curated (log) + family,ridge,2,3,28.88834348036934,14.325311573570103,0.9085910261982773,250.0,68.87767857552919
curated (log) + family,ridge,2,4,23.188432901889186,12.946112535022657,0.9109371920691853,250.0,53.25110690435219
curated (log) + family,xgboost,0,0,19.00206484953937,10.95112088548151,0.9541175450348488,251.0,41.741606440973904
curated (log) + family,xgboost,0,1,36.13146492804673,13.46499617962891,0.860906088819926,250.0,83.34879142464794
curated (log) + family,xgboost,0,2,22.694297943857112,10.06866661703125,0.9032148211044517,250.0,51.38400680113886
curated (log) + family,xgboost,0,3,19.776780367941697,8.45767492738281,0.951205180545317,250.0,48.07539168572361
curated (log) + family,xgboost,0,4,29.64452418515096,12.771255973066406,0.8976068346148254,250.0,69.58611221876667
curated (log) + family,xgboost,1,0,21.729349858130433,10.280701393196741,0.9464156513933643,251.0,42.73100114783549
curated (log) + family,xgboost,1,1,25.033027130380358,10.421496285820314,0.9073215841847752,250.0,62.88213143890249
curated (log) + family,xgboost,1,2,35.589721902985154,12.136278046425781,0.8555689204743196,250.0,89.38227136891737
curated (log) + family,xgboost,1,3,20.82953915488454,10.016878057460938,0.9447508222470873,250.0,40.79089168991266
curated (log) + family,xgboost,1,4,21.24931932080154,10.300376222558592,0.9364342402499575,250.0,40.480249986783484
curated (log) + family,xgboost,2,0,20.78100398591235,10.135924729130354,0.9452489401951953,251.0,44.921316723422535
curated (log) + family,xgboost,2,1,25.14309360653578,10.638579457089845,0.926253290125958,250.0,59.58253783856821
curated (log) + family,xgboost,2,2,21.410924524614302,10.823577183867187,0.9394836701285249,250.0,43.08013516928864
curated (log) + family,xgboost,2,3,33.224840840540416,12.29477570078125,0.879088008763662,250.0,83.88933135317029
curated (log) + family,xgboost,2,4,21.23625612183321,9.341458442187497,0.9253019106885647,250.0,45.685694156991445
old 12,ensemble,0,0,18.1863130464319,12.119275992269506,0.9579724203286691,251.0,36.22814938732289
old 12,ensemble,0,1,32.52455252056947,13.998186155707398,0.8872907293899359,250.0,72.32441017949553
old 12,ensemble,0,2,23.562525953780415,11.852523800860949,0.8956676368131997,250.0,53.164688967252786
old 12,ensemble,0,3,21.285535701802306,10.965638676222596,0.9434761540784617,250.0,51.34277075746349
old 12,ensemble,0,4,30.894547968814077,16.225871673345605,0.8887895260836294,250.0,69.47515989904963
old 12,ensemble,1,0,21.202840945355895,12.297445158258956,0.9489809224960531,251.0,35.37395881391636
old 12,ensemble,1,1,20.59933189498912,12.075373587665435,0.93724358424474,250.0,45.486430396973226
old 12,ensemble,1,2,33.09554369354693,13.798734043566801,0.8751034308829598,250.0,81.48385197564112
old 12,ensemble,1,3,19.38392915560839,12.02414371550137,0.9521535055691261,250.0,33.224809431536464
old 12,ensemble,1,4,22.623598097390527,13.471028175619328,0.9279462562807305,250.0,52.49894365389207
old 12,ensemble,2,0,21.726650101496574,12.924266906461323,0.9401526369775272,251.0,44.48918248864757
old 12,ensemble,2,1,24.150552073677844,12.777648849801619,0.9319607761010672,250.0,51.81725635519793
