cmpdname,nist_id,boiling_point_kelvin,n_measurements,status
4'-Aminopropiophenone,C70699,,0,no_boiling_point
Quinethazone,C73494,,0,no_boiling_point
Nifenalol,,,0,not_found
Isocyanic acid,C75138,,0,no_boiling_point
Nitromethane,C75525,374.22,17,found
Methanesulfonic Acid,C75752,,0,no_boiling_point
Sulfonethylmethane,,,0,not_found
Dihydroxytartaric acid,,,0,not_found
Fluoxymesterone,C76437,,0,no_boiling_point
Cyclopentobarbital,C76686,,0,no_boiling_point
Probarbital,C76766,,0,no_boiling_point
Benzilic acid,C76937,,0,no_boiling_point
Aprobarbital,C77021,,0,no_boiling_point
Piperidione,,,0,not_found
Gibberellic acid,C77065,,0,no_boiling_point
Butethal,C77281,,0,no_boiling_point
Acedapsone,,,0,not_found
Carbromal,C77656,,0,no_boiling_point
Texanol,,,0,not_found
Divinyl sulfone,C77770,,0,no_boiling_point
3-Sulfolene,C77792,,0,no_boiling_point
Tromethamine,C77861,,0,no_boiling_point
Quinic acid,,,0,not_found
Trimethylolpropane,C77996,,0,no_boiling_point
Propionamide,C79050,495.3,5,found
Acrylamide,C79061,,0,no_boiling_point
Chloroacetamide,C79072,,0,no_boiling_point
Peracetic Acid,C79210,,0,no_boiling_point
Nitroethane,C79243,387.65,6,found
Methacrylamide,C79390,,0,no_boiling_point
Pantothenic Acid,,,0,not_found
2-Aminobutyric acid,,,0,not_found
Amsonic acid,,,0,not_found
Musk ketone,C81141,,0,no_boiling_point
Dehydrocholic acid,C81232,,0,no_boiling_point
Taurocholic acid,,,0,not_found
Indanthrene,,,0,not_found
Rhodamine,C81889,,0,no_boiling_point
1-Nitroanthraquinone,C82348,,0,no_boiling_point
1-Aminoanthraquinone,C82451,,0,no_boiling_point
Lysergic Acid,,,0,not_found
Diphacinone,C82666,,0,no_boiling_point
Quintozene,C82688,,0,no_boiling_point
Styphnic acid,C82713,,0,no_boiling_point
4-Pyridoxic acid,,,0,not_found
Pindone,C83261,,0,no_boiling_point
Valone,,,0,not_found
3-Methylsalicylic acid,C83409,,0,no_boiling_point
Methylprednisolone,C83432,,0,no_boiling_point
Rotenone,C83794,,0,no_boiling_point
Naphthionic acid,C84866,,0,no_boiling_point
Acetrizoic acid,C85369,,0,no_boiling_point
3-Nitrosalicylic acid,C85381,,0,no_boiling_point
2-Benzoylbenzoic acid,C85529,534.2,1,found
Benzestrol,,,0,not_found
Diethylthiambutene,C86146,,0,no_boiling_point
1-Nitronaphthalene,C86577,577.2,1,found
Badische acid,,,0,not_found
1-Naphthaleneacetamide,C86862,,0,no_boiling_point
Trichloroisocyanuric acid,C87901,,0,no_boiling_point
2-Furoic acid,,,0,not_found
2-Acetylthiophene,C88153,486.7,1,found
O-Toluenesulfonamide,C88197,,0,no_boiling_point
6-Chlorometanilic acid,,,0,not_found
2-Aminobenzamide,,,0,not_found
2-Nitrotoluene,C88722,495.45,7,found
2-Nitrophenol,C88755,490.4,3,found
Picric Acid,C88891,,0,no_boiling_point
Phthalamide,C88960,,0,no_boiling_point
Phthalamic acid,,,0,not_found
Pyromellitic Acid,C89054,,0,no_boiling_point
4-Sulfophthalic acid,,,0,not_found
4-Chlorophthalic acid,,,0,not_found
N-Acetylanthranilic acid,C89521,,0,no_boiling_point
5-Bromosalicylic acid,C89554,,0,no_boiling_point
5-Methylsalicylic acid,C89565,,0,no_boiling_point
Resacetophenone,C89849,,0,no_boiling_point
2-Phenylbutyramide,C90266,,0,no_boiling_point
Gluconolactone,C90802,,0,no_boiling_point
Thenyldiamine,C91792,,0,no_boiling_point
M-Tolyldiethanolamine,C91996,,0,no_boiling_point
Thianthrene,C92853,639.2,1,found
Homoveratric acid,C93403,,0,no_boiling_point
Piperonylic acid,C94531,,0,no_boiling_point
Ethohexadiol,C94962,517.2,2,found
o-PHENYLENEDIAMINE,C95545,530.15,3,found
Methylhydroquinone,,,0,not_found
Monothioglycerol,C96275,,0,no_boiling_point
Lactobionic acid,,,0,not_found
5-Nitrosalicylic acid,,,0,not_found
o-Aminoazotoluene,C97563,,0,no_boiling_point
Benzenearsonic acid,,,0,not_found
Benzenesulfonamide,C98102,,0,no_boiling_point
Benzenesulfonic Acid,C98113,,0,no_boiling_point
Oxarsanilic acid,,,0,not_found
3-Aminobenzenesulfonamide,C98180,,0,no_boiling_point
Arsanilic acid,C98500,,0,no_boiling_point
L-Pyroglutamic acid,C98793,,0,no_boiling_point
Nitrobenzene,C98953,483.9,25,found
3'-Aminoacetophenone,C99036,562.7,1,found
3-Aminobenzoic Acid,C99058,,0,no_boiling_point
3-Hydroxybenzoic acid,C99069,,0,no_boiling_point
3-Nitrotoluene,C99081,504.0,4,found
Chelidonic acid,,,0,not_found
