strategy,seed,experiment,row,boiling_point,in_spec,hits,cmpdname
prob_in_spec,11,135,788,471.65,True,102,4-Undecyne
prob_in_spec,11,136,1232,467.8,True,103,"3,4,5,5-Tetramethylhexan-3-ol"
prob_in_spec,11,137,1249,460.65,True,104,"2,2,4,4-Tetramethyl-3-hexanol"
prob_in_spec,11,138,787,473.15,False,104,3-Undecyne
prob_in_spec,11,139,811,451.05,False,104,"3-Ethyl-2,4-dimethylpentan-3-ol"
prob_in_spec,11,140,106,451.75,False,104,Octylamine
prob_in_spec,11,141,331,471.15,True,105,Nonylamine
prob_in_spec,11,142,563,351.65,False,105,n-Methyloctan-1-amine
prob_in_spec,11,143,107,435.15,False,105,Dibutylamine
prob_in_spec,11,144,636,441.15,False,105,N-Heptylmethylamine
prob_in_spec,11,145,1179,454.15,True,106,"2,3,3,4,5-Pentamethylhexane"
prob_in_spec,11,146,1172,454.15,True,107,"3,3,4,5-Tetramethylheptane"
prob_in_spec,11,147,45,426.15,False,107,Tripropylamine
prob_in_spec,11,148,376,432.15,False,107,N-Methyldibutylamine
prob_in_spec,11,149,334,445.15,False,107,"N,N-Dimethylheptylamine"
prob_in_spec,11,150,832,474.15,False,107,"5,6-Dimethyldecane"
qlogei_target,11,1,35,341.95,False,0,Isobutylamine
qlogei_target,11,2,159,304.25,False,0,2-Methyl-1-butene
qlogei_target,11,3,991,355.55,False,0,"(2Z,4Z)-2,4-Hexadiene"
qlogei_target,11,4,750,523.15,False,0,2-Methyl-1-tridecene
qlogei_target,11,5,888,428.93767,False,0,"2,3,4,5-Tetramethylhexane"
qlogei_target,11,6,621,465.15,True,1,"4,7-Dimethyloctan-4-ol"
qlogei_target,11,7,166,386.55,False,1,"2,3,4-Trimethylpentane"
qlogei_target,11,8,185,363.15,False,1,2-Methylhexane
qlogei_target,11,9,606,455.15,True,2,"4,5-Dimethylnonane"
qlogei_target,11,10,735,439.15,False,2,"2,2,4,4-Tetramethylpentan-3-ol"
qlogei_target,11,11,792,455.15,True,3,"2,4,6-Trimethyl-4-heptanol"
qlogei_target,11,12,650,484.15,False,3,Tetrahydrolavandulol
qlogei_target,11,13,1194,462.15,True,4,4-Isopropyl-4-heptanol
qlogei_target,11,14,419,462.35,True,5,2-Methyldecane
qlogei_target,11,15,1232,467.8,True,6,"3,4,5,5-Tetramethylhexan-3-ol"
qlogei_target,11,16,635,459.15,True,7,5-Methyldecane
qlogei_target,11,17,1249,460.65,True,8,"2,2,4,4-Tetramethyl-3-hexanol"
qlogei_target,11,18,1119,458.15,True,9,"3,4-Dimethylnonane"
qlogei_target,11,19,795,462.9,True,10,"3,3,6,6-Tetramethyloctane"
qlogei_target,11,20,1192,452.15,False,10,"3,5-Diethylheptane"
qlogei_target,11,21,1241,457.15,True,11,"2,2,5,5-Tetramethyloctane"
qlogei_target,11,22,627,465.15,True,12,3-Methyldecane
qlogei_target,11,23,803,452.15,False,12,"2,2,3-Trimethyloctane"
qlogei_target,11,24,864,479.15,False,12,6-Methyloctan-1-ol
qlogei_target,11,25,1245,469.15,True,13,"2,4,4,5,5-Pentamethylheptane"
qlogei_target,11,26,360,461.15,True,14,4-Methyldecane
qlogei_target,11,27,932,461.15,True,15,3-Ethylnonane
qlogei_target,11,28,1223,463.15,True,16,"2,5,5-Trimethylnonane"
qlogei_target,11,29,1160,460.15,True,17,"4-Ethyl-2,2-dimethyloctane"
qlogei_target,11,30,1187,464.15,True,18,4-Tert-butyloctane
qlogei_target,11,31,1136,464.15,True,19,"4-Ethyl-2,4-dimethyloctane"
qlogei_target,11,32,1218,462.15,True,20,"2,4-Dimethyl-4-propylheptane"
qlogei_target,11,33,1220,463.15,True,21,"2,5-Dimethyl-4-propylheptane"
qlogei_target,11,34,1174,455.9,True,22,"2,2,6,6-Tetramethyloctane"
qlogei_target,11,35,1133,464.89743,True,23,"2,2,3,4-Tetramethylhexan-3-ol"
qlogei_target,11,36,1154,459.4,True,24,"2,4,5,7-Tetramethyloctane"
qlogei_target,11,37,1164,464.15,True,25,"2,2,4-Trimethylnonane"
qlogei_target,11,38,196,589.15,False,25,Octadecane
qlogei_target,11,39,1221,463.15,True,26,"2,6,6-Trimethylnonane"
qlogei_target,11,40,1222,457.75,True,27,"2,6-Dimethyl-4-propylheptane"
qlogei_target,11,41,1236,466.15,True,28,"2,2,3,3,6-Pentamethylheptane"
qlogei_target,11,42,1199,468.15,True,29,"2,2,3,3,5,5-Hexamethylhexane"
qlogei_target,11,43,121,517.15,False,29,"2,2-Diethyl-1,3-propanediol"
qlogei_target,11,44,669,465.4,True,30,4-Methyl-2-propylpentan-1-ol
qlogei_target,11,45,1211,468.15,True,31,2-Ethyl-4-methylhexan-1-ol
qlogei_target,11,46,1138,463.15,True,32,"4-Ethyl-2,6-dimethyloctane"
qlogei_target,11,47,468,452.15,False,32,"3,5-Dimethyl-4-heptanol"
qlogei_target,11,48,710,467.14283,True,33,4-Propyl-4-heptanol
qlogei_target,11,49,872,429.36,False,33,4-Ethyl-2-methylheptane
qlogei_target,11,50,774,475.15,False,33,5-Methyl-5-nonanol
qlogei_target,11,51,1105,468.15,True,34,"2,3,4,5,6-Pentamethylheptane"
qlogei_target,11,52,1243,467.15,True,35,"2,3-Dimethyl-4-propylheptane"
qlogei_target,11,53,918,472.15,True,36,"3,4,5,6-Tetramethyloctane"
qlogei_target,11,54,825,463.85,True,37,2-Methyl-1-decene
qlogei_target,11,55,1157,450.15,False,37,"5,5-Dimethylnonane"
qlogei_target,11,56,696,455.44,True,38,Undec-4-ene
qlogei_target,11,57,278,465.85,True,39,1-Undecene
qlogei_target,11,58,279,440.15,False,39,2-Methylnonane
qlogei_target,11,59,843,501.15,False,39,"2,3-Dimethylundecane"
qlogei_target,11,60,1141,458.15,True,40,4-Tert-butyl-2-methylheptane
qlogei_target,11,61,734,462.0,True,41,"1,10-Undecadiene"
qlogei_target,11,62,302,469.05,True,42,Undecane
qlogei_target,11,63,856,448.0,False,42,"2,3-Dimethylnonane"
qlogei_target,11,64,1115,462.15,True,43,"3,3-Diethyl-2,2-dimethylpentane"
qlogei_target,11,65,297,433.15,False,43,"2,7-Dimethyloctane"
qlogei_target,11,66,1203,460.15,True,44,"2,3,3,4,4-Pentamethylhexane"
qlogei_target,11,67,1114,459.15,True,45,"3-Ethyl-2,2,3,4-tetramethylpentane"
qlogei_target,11,68,336,477.15,False,45,Dipentylamine
qlogei_target,11,69,827,430.15,False,45,"2,4-Dimethyl-3-isopropylpentane"
qlogei_target,11,70,811,451.05,False,45,"3-Ethyl-2,4-dimethylpentan-3-ol"
qlogei_target,11,71,1116,467.15,True,46,"2,2,3,3,4,4-Hexamethylpentane"
qlogei_target,11,72,149,460.15,True,47,Diisoamylamine
qlogei_target,11,73,1021,466.15,True,48,(E)-4-Undecene
qlogei_target,11,74,981,453.15,True,49,3-Methyl-4-octanol
qlogei_target,11,75,639,418.15,False,49,4-Nonene
qlogei_target,11,76,699,465.45,True,50,5-Undecene
qlogei_target,11,77,658,454.65,True,51,2-Methyl-3-octanol
qlogei_target,11,78,563,351.65,False,51,n-Methyloctan-1-amine
qlogei_target,11,79,1152,452.15,False,51,"3,4,6-Trimethyloctane"
qlogei_target,11,80,597,370.15,False,51,3-Octyn-1-ol
qlogei_target,11,81,1150,463.0,True,52,"2,5,8-Trimethylnonane"
qlogei_target,11,82,615,484.75,False,52,2-Methyl-1-undecene
qlogei_target,11,83,1240,459.15,True,53,"2,2,5,5,6-Pentamethylheptane"
qlogei_target,11,84,460,474.15,False,53,"2,2-Dimethyldecane"
qlogei_target,11,85,924,471.15,True,54,"4,6-Dimethyldecane"
qlogei_target,11,86,1177,457.15,True,55,"2,2,3,3,4-Pentamethylhexane"
qlogei_target,11,87,634,571.15,False,55,3-Methylhexadecane
qlogei_target,11,88,744,385.15,False,55,"3,4-Dimethyl-1-hexene"
qlogei_target,11,89,214,366.55,False,55,3-Ethylpentane
qlogei_target,11,90,367,413.15,False,55,3-Ethyl-3-methylhexane
qlogei_target,11,91,971,410.15,False,55,(3R)-3-methylhex-1-yn-3-ol
qlogei_target,11,92,29,375.55,False,55,2-Methyl-2-butanol
qlogei_target,11,93,298,467.15,True,56,Triisobutylamine
qlogei_target,11,94,327,623.15,False,56,Octadecylamine
qlogei_target,11,95,691,439.15,False,56,4-Methyl-4-heptanol
qlogei_target,11,96,531,252.95,False,56,Trimethylborane
qlogei_target,11,97,36,380.99,False,56,Isobutanol
qlogei_target,11,98,237,443.15,False,56,5-Methyl-1-hexanol
qlogei_target,11,99,195,395.55,False,56,Oct-4-ene
